"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC06000639.hg.1",-1.01265781818182,8.60326736363636,-9.10825371911156,9.02643334583854e-17,1.1109444308003e-14,27.5354038478793,"TC06000639.hg.1"
"TC20000416.hg.1",-1.53962037575758,5.54631280808081,-9.0927100380817,9.98616669280057e-17,1.20798359121162e-14,27.4365359249524,"TC20000416.hg.1"
"TC11002381.hg.1",-1.51472513333334,4.57896308585859,-9.09212169652141,1.00244194908976e-16,1.21053447903522e-14,27.432795028626,"TC11002381.hg.1"
"TC06001324.hg.1",-1.26549998181818,3.46356828787879,-9.07038327319264,1.15446317698438e-16,1.36833960723478e-14,27.2946426940369,"TC06001324.hg.1"
"TC05001973.hg.1",-1.22014634545454,5.71177804545454,-9.05113381225486,1.30807266871944e-16,1.52226417188286e-14,27.1724204114284,"TC05001973.hg.1"
"TC11003389.hg.1",-1.51962553939394,4.54978165656566,-9.02836756766282,1.51613040533174e-16,1.72454942863243e-14,27.0280055422709,"TC11003389.hg.1"
"TC21000040.hg.1",-1.26768216969697,4.83240176767677,-9.01976227932544,1.60306269344223e-16,1.80595511708669e-14,26.9734577655151,"TC21000040.hg.1"
"TC05001289.hg.1",-1.69147356969696,5.24678366161616,-9.00498309226652,1.76406859989767e-16,1.9583585043004e-14,26.8798243758384,"TC05001289.hg.1"
"TC09000274.hg.1",-1.11757502424243,3.92005881313132,-8.98518053193066,2.00523656175609e-16,2.18909130100193e-14,26.7544647657211,"TC09000274.hg.1"
"TC11002850.hg.1",-1.08347466666667,4.89018138383839,-8.96354394140874,2.30628961304227e-16,2.49457764387393e-14,26.61762560907,"TC11002850.hg.1"
"TC15000368.hg.1",-1.2840737030303,4.48242006565656,-8.89386190571667,3.61539550907996e-16,3.71133242338932e-14,26.1778641313202,"TC15000368.hg.1"
"TC21000077.hg.1",-1.19724816969697,5.80525449494949,-8.85757054323462,4.56661992914323e-16,4.57459854066716e-14,25.9494041187923,"TC21000077.hg.1"
"TC01003768.hg.1",-2.13339538787879,5.76834251010101,-8.84793298804911,4.85852568824012e-16,4.8055793423809e-14,25.8888009189634,"TC01003768.hg.1"
"TC05002075.hg.1",-1.04404804242425,5.13053914646465,-8.8245614496428,5.64561874045434e-16,5.46153594558383e-14,25.7419523661181,"TC05002075.hg.1"
"TC15000210.hg.1",-1.14440993333333,7.08789987373738,-8.81113134265298,6.15388747801574e-16,5.88861067316288e-14,25.6576434078212,"TC15000210.hg.1"
"TC12001290.hg.1",-1.18602444848485,3.03088044444445,-8.8009519040948,6.56916520927667e-16,6.22684459749756e-14,25.5937776902538,"TC12001290.hg.1"
"TC03000705.hg.1",-1.13673694545454,4.57537081818182,-8.79097046928822,7.00335168672453e-16,6.60290602945019e-14,25.5311851707085,"TC03000705.hg.1"
"TC05001317.hg.1",-1.65769674545455,5.69456440909091,-8.77758163621558,7.6307950610515e-16,7.1183407419383e-14,25.4472734533215,"TC05001317.hg.1"
"TC15000167.hg.1",-1.14172430909092,7.38819859090909,-8.74795360139682,9.22457158294148e-16,8.45896576846537e-14,25.2617833766627,"TC15000167.hg.1"
"TC15001126.hg.1",-1.14172430909092,7.38819859090909,-8.74795360139682,9.22457158294148e-16,8.45896576846537e-14,25.2617833766627,"TC15001126.hg.1"
"TC09001920.hg.1",-1.2518916969697,4.14609434343434,-8.74717549464204,9.27060427909279e-16,8.46879307738939e-14,25.2569156207921,"TC09001920.hg.1"
"TC02002500.hg.1",-1.21256033333333,2.51102881313131,-8.71282923024864,1.15465595890737e-15,1.02685753076954e-13,25.0422377163942,"TC02002500.hg.1"
"TC15001153.hg.1",-1.1562968,7.82084345454547,-8.66466477401165,1.56995875374766e-15,1.34530013597261e-13,24.7418173246443,"TC15001153.hg.1"
"TC0X002025.hg.1",-1.88899816969697,5.13954767676768,-8.62364000034759,2.03842403396873e-15,1.69124444879502e-13,24.4865135509541,"TC0X002025.hg.1"
"TC01000725.hg.1",-1.15617391515152,5.72722404040404,-8.62345120123353,2.04087262712288e-15,1.69128625478951e-13,24.4853398750268,"TC01000725.hg.1"
