"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC04002601.hg.1",1.93959091515152,5.25531621717172,7.42937452371766,3.14901548379561e-12,1.19012871899099e-10,17.3183223877532,"TC04002601.hg.1"
"TC17001682.hg.1",1.12053321212121,8.91782052525252,7.41721023693318,3.3839067151822e-12,1.26803003865459e-10,17.2482204244035,"TC17001682.hg.1"
"TC06002044.hg.1",1.98903461212121,4.61128593434343,7.39773801585901,3.79642870694291e-12,1.39228050805894e-10,17.1361375624844,"TC06002044.hg.1"
"TC16001335.hg.1",1.07568151515152,6.35086844444445,7.37373862747822,4.37370998765019e-12,1.5923962284928e-10,16.9982244319885,"TC16001335.hg.1"
"TC15001719.hg.1",1.239702,4.66575481818182,7.36133577856801,4.70519882822755e-12,1.69731323254778e-10,16.9270503313125,"TC15001719.hg.1"
"TC01003798.hg.1",1.10457952727273,4.02623133333334,7.31424896040566,6.20539302530293e-12,2.17722851902208e-10,16.6574606151424,"TC01003798.hg.1"
"TC08001438.hg.1",1.21832150909091,4.00723771212121,7.31245273554793,6.2711324980302e-12,2.19592391836437e-10,16.6471960549741,"TC08001438.hg.1"
"TC15000850.hg.1",1.12917491515152,4.36377042929293,7.31030189455488,6.35075561628499e-12,2.22049746319914e-10,16.6349069270078,"TC15000850.hg.1"
"PSR11017848.hg.1",1.03421043030303,6.93428202525253,7.29626092118658,6.89563552441825e-12,2.38986203261398e-10,16.5547326334524,"PSR11017848.hg.1"
"TC04002100.hg.1",1.801534,8.97440875757576,7.24113497067758,9.51841691801069e-12,3.19043401287485e-10,16.240817802972,"TC04002100.hg.1"
"TC02002378.hg.1",1.01632537575757,6.92045726767677,7.20090866004216,1.20323511778821e-11,3.91581680718864e-10,16.0126167056288,"TC02002378.hg.1"
"TC01001382.hg.1",1.069147,7.21324016666667,7.12121619410812,1.91016770763458e-11,5.91355387381533e-10,15.5627164252225,"TC01001382.hg.1"
"TC07001318.hg.1",1.1529085030303,5.53341157070707,7.10617558347503,2.08360152958382e-11,6.38877524655826e-10,15.4781349779653,"TC07001318.hg.1"
"TC11002234.hg.1",2.54999389090909,5.05457687878788,7.07991220761964,2.42445040560623e-11,7.3099408274719e-10,15.3306950436749,"TC11002234.hg.1"
"TC01002850.hg.1",1.53465741818182,5.87168709090909,7.06292774924433,2.67357443355234e-11,7.98595890628596e-10,15.2355181508011,"TC01002850.hg.1"
"TC04001304.hg.1",1.96618367878788,7.19089755050505,7.06108373839979,2.70209608897499e-11,8.06084386620443e-10,15.2251929122478,"TC04001304.hg.1"
"TC08000196.hg.1",1.05028219393939,4.13667428282828,7.05925876707143,2.73061862466509e-11,8.11852517990119e-10,15.214975858856,"TC08000196.hg.1"
"TC04000478.hg.1",1.73284041818182,8.37503053030303,7.04367403034871,2.98660167258795e-11,8.80535575902676e-10,15.1277890948645,"TC04000478.hg.1"
"TC08000456.hg.1",1.18946904242424,7.31420871717171,7.00967651308607,3.6299690952643e-11,1.04744807899069e-09,14.9379933221988,"TC08000456.hg.1"
"TC05003082.hg.1",1.02332187878788,5.03995683838384,7.00602949229359,3.70661876518827e-11,1.0669464292954e-09,14.9176659405611,"TC05003082.hg.1"
"TC11003311.hg.1",2.22508288484848,6.11957782828283,6.97505054614975,4.42543031200158e-11,1.24887803878867e-09,14.7452547554559,"TC11003311.hg.1"
"TC05001556.hg.1",1.18843750909091,4.47920174242424,6.86453688307773,8.29793326678981e-11,2.19256331125447e-09,14.1339687236571,"TC05001556.hg.1"
"TC12001216.hg.1",1.41568761818182,5.8942065,6.75414379776993,1.54581836836141e-10,3.85487089080452e-09,13.5293328599679,"TC12001216.hg.1"
"TC07002047.hg.1",1.00345594545455,4.73096092424242,6.75311230837024,1.55478720048931e-10,3.87039384892721e-09,13.5237119014097,"TC07002047.hg.1"
"3213015_st",1.023192,7.0962976969697,6.74315533836373,1.64404029797759e-10,4.06388552170605e-09,13.4694802523606,"3213015_st"
"TC04001306.hg.1",1.52609816969697,3.67221577777778,6.70500126219494,2.03520476025019e-10,4.89525052207109e-09,13.2621327586497,"TC04001306.hg.1"
"TC02001202.hg.1",1.19061816363636,3.04906340909091,6.49735737932217,6.42038214176948e-10,1.38339324712499e-08,12.1467798340136,"TC02001202.hg.1"
